	title	contributor	date	lot	country	city	locationdef	source	basename	ur
5915	[Port Erin, general view, Isle of Man]	no contributor	1890	LOT 13415	no country	no city	UK	Views of the British Isles	2002697044.jpg	http://www.loc.gov/item/2002697044/
5916	[Steinbach Square and protestant church, Mulhausen, Alsace Lorraine, Germany]	no contributor	1890	LOT 13411	no country	no city	Russia	Views of Germany	2002695079.jpg	http://www.loc.gov/item/2002695079/
5917	[Taddiport from Castle Hill, Torrington, England]	no contributor	1890	LOT 13415	no country	no city	UK	Views of the British Isles	2002708185.jpg	http://www.loc.gov/item/2002708185/
5918	[Inselsberg from Lauchaergrund, Thuringia, Germany]	no contributor	1890	LOT 13411	no country	no city	Russia	Views of Germany	2002720800.jpg	http://www.loc.gov/item/2002720800/
5919	Horse Pasture Falls, Sapphire, N.C.	['Detroit Photographic Co.']	1902	LOT 13923	no country	no city	US	no source	2008679618.jpg	http://www.loc.gov/item/2008679618/
5920	[Altdorf, Bavaria, Germany]	no contributor	1890	LOT 13411	no country	no city	Russia	Views of Germany	2002696205.jpg	http://www.loc.gov/item/2002696205/
5921	[Place de la Concorde, Paris, France]	no contributor	1890	LOT 13418	no country	no city	France	Views of architecture, monuments, and other sites in France	2001698541.jpg	http://www.loc.gov/item/2001698541/
5922	[The Wissower Klinken, seen from below, Isle of Rugen, Germany]	no contributor	1890	LOT 13411	no country	no city	Russia	Views of Germany	2002720553.jpg	http://www.loc.gov/item/2002720553/
5923	[Troldtinderne (i.e., Trolltindene), Romsdalen, Norway]	no contributor	1890	LOT 13432	no country	no city	Norway	Landscape and marine views of Norway	2001700715.jpg	http://www.loc.gov/item/2001700715/
5924	[The beach, Dinard, France]	no contributor	1890	LOT 13418	no country	no city	France	Views of architecture, monuments, and other sites in France	2001698111.jpg	http://www.loc.gov/item/2001698111/
5925	[The Promenade, Deal, England]	no contributor	1890	LOT 13415	no country	no city	UK	Views of the British Isles	2002696655.jpg	http://www.loc.gov/item/2002696655/
5926	[The gulf, Sebastopol, Russia, (i.e., Ukraine)]	no contributor	1890	LOT 13419	no country	no city	Russia	Views of architecture and other sites primarily in Poland, Russia, and the Ukraine	2001697509.jpg	http://www.loc.gov/item/2001697509/
5927	[Royal Staff College, Camberley, England]	no contributor	1890	LOT 13415	no country	no city	UK	Views of the British Isles	2002696442.jpg	http://www.loc.gov/item/2002696442/
5928	[Upper Engadine, Lake Sils, Grisons, Switzerland]	no contributor	1890	LOT 13410	no country	no city	Switzerland	Views of Switzerland	2001702495.jpg	http://www.loc.gov/item/2001702495/
5929	[River Boyne. County Louth, Ireland]	no contributor	1890	LOT 13406	no country	no city	Ireland	Views of Ireland	2002717437.jpg	http://www.loc.gov/item/2002717437/
