	title	contributor	date	lot	country	city	locationdef	source	basename	ur
1097	[General view, San Remo, Riviera]	no contributor	1890	LOT 13425	no country	no city	France	Views of the French and Italian Riviera	2001699353.jpg	http://www.loc.gov/item/2001699353/
1098	[Hertenstein Schloss, Lake Lucerne, Switzerland]	no contributor	1890	LOT 13410	no country	no city	Switzerland	Views of Switzerland	2001703090.jpg	http://www.loc.gov/item/2001703090/
1099	[Port Erin, view from Bradda Head, Isle of Man]	no contributor	1890	LOT 13415	no country	no city	UK	Views of the British Isles	2002697047.jpg	http://www.loc.gov/item/2002697047/
1100	[General view, Totnes, England]	no contributor	1890	LOT 13415	no country	no city	UK	Views of the British Isles	2002708186.jpg	http://www.loc.gov/item/2002708186/
1101	[Interior of Palm Houses, Frankfort on Main (i.e. Frankfurt am Main), Germany]	no contributor	1890	LOT 13411	no country	no city	Russia	Views of Germany	2002713660.jpg	http://www.loc.gov/item/2002713660/
1102	[General view of the town, with Kirchenfeld Bridge, as seen from Muristalden, Berne, Switzerland]	no contributor	1890	LOT 13410	no country	no city	Switzerland	Views of Switzerland	2001701107.jpg	http://www.loc.gov/item/2001701107/
1103	[Tambach, Thuringia, Germany]	no contributor	1890	LOT 13411	no country	no city	Russia	Views of Germany	2002720803.jpg	http://www.loc.gov/item/2002720803/
1104	[THe Pantheon, park of Worlitz, Anhalt, Germany]	no contributor	1890	LOT 13411	no country	no city	Russia	Views of Germany	2002695095.jpg	http://www.loc.gov/item/2002695095/
1105	[From Waldron Hill, Torquay, England]	no contributor	1890	LOT 13415	no country	no city	UK	Views of the British Isles	2002708169.jpg	http://www.loc.gov/item/2002708169/
1106	Athènes. Monument D'Eole	['Photoglob Co., publisher']	1890	LOT 14192	['greece']	['athens']	Greece	no source	2017658108.jpg	http://www.loc.gov/item/2017658108/
1107	Kairo, le Pont du Nil et Caserne Anglaise	['Photoglob Co., publisher']	1890	LOT 14192	['egypt']	['cairo']	Egypt	no source	2017657707.jpg	http://www.loc.gov/item/2017657707/
1108	[Jajce, Bosnia, Austro-Hungary]	no contributor	1890	LOT 13417	no country	no city	Austro-Hungarian Empire	Views of the Austro-Hungarian Empire	2002708493.jpg	http://www.loc.gov/item/2002708493/
1109	[Portrait of Robert Burns, Ayr, Scotland]	no contributor	1890	LOT 13407	no country	no city	Scotland	Views of landscape and architecture in Scotland	2001703585.jpg	http://www.loc.gov/item/2001703585/
1110	[Street near the Rialto, Venice, Italy]	no contributor	1890	LOT 13434	no country	no city	Italy	Views of architecture and other sites in Italy	2001701042.jpg	http://www.loc.gov/item/2001701042/
1111	[Herrenhausen Schloss, Hanover, Hanover, Germany]	no contributor	1890	LOT 13411	no country	no city	Russia	Views of Germany	2002713725.jpg	http://www.loc.gov/item/2002713725/
1112	Westminster Abbey. West Front	no contributor	1890	LOT 14184	['great britain']	['london']	UK	no source	2017659719.jpg	http://www.loc.gov/item/2017659719/
1113	[General view, La Bouroule, France]	no contributor	1890	LOT 13418	no country	no city	France	Views of architecture, monuments, and other sites in France	2001698407.jpg	http://www.loc.gov/item/2001698407/
1114	[Hornberg, general view, Black Forest, Baden, Germany]	no contributor	1890	LOT 13411	no country	no city	Russia	Views of Germany	2002696343.jpg	http://www.loc.gov/item/2002696343/
1115	[Wingfield Manor, I., Derbyshire, England]	no contributor	1890	LOT 13415	no country	no city	UK	Views of the British Isles	2002696713.jpg	http://www.loc.gov/item/2002696713/
1116	[Panoramic view taken from The Tower of the Forty Martyrs, Ramleh, Holy Land, (i.e., Ramlah, Israel)]	no contributor	1890	LOT 13424	no country	no city	Holy Land	Views of the Holy Land	2002725050.jpg	http://www.loc.gov/item/2002725050/
1117	[Jersey, Plemont Caves and Needle Rock, Channel Islands]	no contributor	1890	LOT 13415	no country	no city	UK	Views of the British Isles	2002696504.jpg	http://www.loc.gov/item/2002696504/
1118	[Engadine, Maloja, Lake of Sils, Grisons, Switzerland]	no contributor	1890	LOT 13410	no country	no city	Switzerland	Views of Switzerland	2001702479.jpg	http://www.loc.gov/item/2001702479/
1119	Ganymede, Library of Congress	['Detroit Photographic Co.']	1901	LOT 13923	no country	no city	US	no source	2008679549.jpg	http://www.loc.gov/item/2008679549/
1120	[General view and the bridge, Bétharram, Pyrenees, France]	no contributor	1890	LOT 13418	no country	no city	France	Views of architecture, monuments, and other sites in France	2001698610.jpg	http://www.loc.gov/item/2001698610/
1121	[The Pegnitz shore and synagogue, Nuremberg, Bavaria, Germany]	no contributor	1890	LOT 13411	no country	no city	Russia	Views of Germany	2002696154.jpg	http://www.loc.gov/item/2002696154/
1122	[N.E. Point, Helgoland, Germany]	no contributor	1890	LOT 13411	no country	no city	Russia	Views of Germany	2002713861.jpg	http://www.loc.gov/item/2002713861/
1123	[Prebischthor, Saxony, Germany (i.e.,Pravčická brána, Czech Republic)]	no contributor	1890	LOT 13411	no country	no city	Russia	Views of Germany	2002720602.jpg	http://www.loc.gov/item/2002720602/
1124	"Rocky Mountain ""Canaries"""	['Detroit Photographic Co.']	1898	LOT 13923	no country	no city	US	no source	2008676346.jpg	http://www.loc.gov/item/2008676346/
1125	Kairo, les tombeaux des Mameluks	['Photoglob Co., publisher']	1890	LOT 14192	['egypt']	no city	Egypt	no source	2017657140.jpg	http://www.loc.gov/item/2017657140/
1126	[Engstlenalp, general view, Unterwald, Switzerland]	no contributor	1890	LOT 13410	no country	no city	Switzerland	Views of Switzerland	2001703268.jpg	http://www.loc.gov/item/2001703268/
1127	[Thun, general view, Bernese Oberland, Switzerland]	no contributor	1890	LOT 13410	no country	no city	Switzerland	Views of Switzerland	2001701255.jpg	http://www.loc.gov/item/2001701255/
1128	[Yıldırım Beyazıt mosque, Bursa, Turkey]	no contributor	1890	LOT 13428	no country	no city	Turkey	Views of people and sites in Turkey	2001699451.jpg	http://www.loc.gov/item/2001699451/
1129	[Derwentwater, from Castle Hill, Lake District, England]	no contributor	1890	LOT 13415	no country	no city	UK	Views of the British Isles	2002696857.jpg	http://www.loc.gov/item/2002696857/
1130	[Courtyard, Naples, Italy]	no contributor	1890	LOT 13434	no country	no city	Italy	Views of architecture and other sites in Italy	2001700917.jpg	http://www.loc.gov/item/2001700917/
1131	[Devin and the Danube River, southwest Slovakia, near Austrian border, Austro-Hungary]	no contributor	1890	LOT 13417	no country	no city	Austro-Hungarian Empire	Views of the Austro-Hungarian Empire	2002708391.jpg	http://www.loc.gov/item/2002708391/
1132	[Grindelwald, Hotel Bären, Bernese Oberland, Switzerland]	no contributor	1890	LOT 13410	no country	no city	Switzerland	Views of Switzerland	2001701310.jpg	http://www.loc.gov/item/2001701310/
1133	"[""Van der Werf"" Park, Leyden, (i.e., Leiden) Holland]"	no contributor	1890	LOT 13423	no country	no city	Netherlands	Views of architecture and other sites in the Netherlands	2001699514.jpg	http://www.loc.gov/item/2001699514/
1134	[Champéry, general view, Valais, Alps of, Switzerland]	no contributor	1890	LOT 13410	no country	no city	Switzerland	Views of Switzerland	2001703287.jpg	http://www.loc.gov/item/2001703287/
1135	[Merchants of eatables, Bona, Algeria]	no contributor	1899	LOT 13420	no country	no city	Algeria	Views of people and sites in Algeria	2001697859.jpg	http://www.loc.gov/item/2001697859/
1136	[Pier and harbor, Littlehampton, England]	no contributor	1890	LOT 13415	no country	no city	UK	Views of the British Isles	2002696912.jpg	http://www.loc.gov/item/2002696912/
1137	[View towards the lighthouse, Genoa, Italy]	no contributor	1890	LOT 13434	no country	no city	Italy	Views of architecture and other sites in Italy	2001700852.jpg	http://www.loc.gov/item/2001700852/
1138	[Royal Military College, a favorite drive, Sandhurst, Camberley, England]	no contributor	1890	LOT 13415	no country	no city	UK	Views of the British Isles	2002696441.jpg	http://www.loc.gov/item/2002696441/
1139	[Bath of Liebenstein (i.e., Bad Liebenstein), from the Reichshohe, Thuringia, Germany]	no contributor	1890	LOT 13411	no country	no city	Russia	Views of Germany	2002720747.jpg	http://www.loc.gov/item/2002720747/
1140	[Upper Engadine, Falls of the Inn, Grisons, Switzerland]	no contributor	1890	LOT 13410	no country	no city	Switzerland	Views of Switzerland	2001702496.jpg	http://www.loc.gov/item/2001702496/
1141	[Kilkenny Castle. County Kilkenny, Ireland]	no contributor	1890	LOT 13406	no country	no city	Ireland	Views of Ireland	2002717434.jpg	http://www.loc.gov/item/2002717434/
1142	[The new market and bourse (i.e. weighing house), Amsterdam, Holland]	no contributor	1890	LOT 13423	no country	no city	Netherlands	Views of architecture and other sites in the Netherlands	2001698755.jpg	http://www.loc.gov/item/2001698755/
1143	[Bad Neuheim (i.e. Bad Nauheim), and Johannisberg, Hesse-Nassau, Germany]	no contributor	1890	LOT 13411	no country	no city	Russia	Views of Germany	2002713924.jpg	http://www.loc.gov/item/2002713924/
1144	Moonlight on Lake Waikaremoana	['Photoglob Co., publisher']	1890	LOT 14192	['new zealand']	no city	New Zealand	no source	2017649298.jpg	http://www.loc.gov/item/2017649298/
1145	[Lincluden Abbey, Dumfries, Scotland]	no contributor	1890	LOT 13407	no country	no city	Scotland	Views of landscape and architecture in Scotland	2001705979.jpg	http://www.loc.gov/item/2001705979/
1146	Bombay. Harbour with arriving mail.	['Photoglob Co., publisher']	1890	LOT 14192	['india']	['mumbai']	India	no source	2017658173.jpg	http://www.loc.gov/item/2017658173/
1147	[View from the pier, I., Southend-on-Sea, England]	no contributor	1890	LOT 13415	no country	no city	UK	Views of the British Isles	2002708112.jpg	http://www.loc.gov/item/2002708112/
1148	[Jungfrau and Staubbach, Bernese Oberland, Switzerland]	no contributor	1890	LOT 13410	no country	no city	Switzerland	Views of Switzerland	2001701193.jpg	http://www.loc.gov/item/2001701193/
1149	[Luther Memorial, Worms, the Rhine, Germany]	no contributor	1890	LOT 13411	no country	no city	Russia	Views of Germany	2002714131.jpg	http://www.loc.gov/item/2002714131/
1150	[Kidwelly, Carmarthen, Wales]	no contributor	1890	LOT 13408	no country	no city	Wales	Views of landscape and architecture in Wales	2001703454.jpg	http://www.loc.gov/item/2001703454/
1151	The country club, Pasadena	['Detroit Photographic Co.']	1898	LOT 13923	no country	no city	US	no source	2008678134.jpg	http://www.loc.gov/item/2008678134/
1152	[Hauptplatz and market, Grosswardein, Hungary, Austro-Hungary]	no contributor	1890	LOT 13417	no country	no city	Austro-Hungarian Empire	Views of the Austro-Hungarian Empire	2002710871.jpg	http://www.loc.gov/item/2002710871/
1153	[San Marina Canal, Venice, Italy]	no contributor	1890	LOT 13434	no country	no city	Italy	Views of architecture and other sites in Italy	2001701039.jpg	http://www.loc.gov/item/2001701039/
1154	[Upper Engadine, Roseg Glacier and Hotel, Grisons, Switzerland]	no contributor	1890	LOT 13410	no country	no city	Switzerland	Views of Switzerland	2001703004.jpg	http://www.loc.gov/item/2001703004/
1155	Bei der Mühle Hirslanden, Zürich	no contributor	1890	LOT 14194	no country	no city	na	Photochrom print collection	2017656497.jpg	http://www.loc.gov/item/2017656497/
1156	Windsor Castle. East Terrace	no contributor	1890	LOT 14184	['great britain']	['windsor']	UK	no source	2017659762.jpg	http://www.loc.gov/item/2017659762/
1157	[Como, general view, Lake Como, Italy]	no contributor	1890	LOT 13434	no country	no city	Italy	Views of architecture and other sites in Italy	2001700782.jpg	http://www.loc.gov/item/2001700782/
1158	[Hirschsprung, Black Forest, Baden, Germany]	no contributor	1890	LOT 13411	no country	no city	Russia	Views of Germany	2002696338.jpg	http://www.loc.gov/item/2002696338/
1159	[Le Mauvais Pas, Chamonix Valley, France]	no contributor	1890	LOT 13418	no country	no city	France	Views of architecture, monuments, and other sites in France	2001697623.jpg	http://www.loc.gov/item/2001697623/
1160	[Scharitzkehl-Alp, Upper Bavaria, Germany]	no contributor	1890	LOT 13411	no country	no city	Russia	Views of Germany	2002696292.jpg	http://www.loc.gov/item/2002696292/
1161	[The Wye, Goodrich, England]	no contributor	1890	LOT 13415	no country	no city	UK	Views of the British Isles	2002696768.jpg	http://www.loc.gov/item/2002696768/
1162	[Place du Chatelet, Paris, France]	no contributor	1890	LOT 13418	no country	no city	France	Views of architecture, monuments, and other sites in France	2001698539.jpg	http://www.loc.gov/item/2001698539/
1163	Plymouth Church, Brooklyn, N.Y.	['Detroit Photographic Co.']	1904	LOT 13923	no country	no city	US	no source	2008679660.jpg	http://www.loc.gov/item/2008679660/
1164	[East Cliff, with beach and fish market, Hastings, England]	no contributor	1890	LOT 13415	no country	no city	UK	Views of the British Isles	2002696787.jpg	http://www.loc.gov/item/2002696787/
1165	[The esplanade, Nîmes, France]	no contributor	1890	LOT 13418	no country	no city	France	Views of architecture, monuments, and other sites in France	2001698493.jpg	http://www.loc.gov/item/2001698493/
1166	[From the garden, Jaffa, Holy Land, (i.e. Israel)]	no contributor	1890	LOT 13424	no country	no city	Holy Land	Views of the Holy Land	2002724991.jpg	http://www.loc.gov/item/2002724991/
1167	[General view, Llangollen, Wales]	no contributor	1890	LOT 13408	no country	no city	Wales	Views of landscape and architecture in Wales	2001703511.jpg	http://www.loc.gov/item/2001703511/
1168	[Boulevard du midi, Nice, Riviera]	no contributor	1890	LOT 13425	no country	no city	France	Views of the French and Italian Riviera	2001699328.jpg	http://www.loc.gov/item/2001699328/
1169	Singapore. Street in Tanglia	['Photoglob Co., publisher']	1890	LOT 14192	['singapore']	no city	Singapore	no source	2017657639.jpg	http://www.loc.gov/item/2017657639/
1170	Colorado. Branding calves	['Detroit Photographic Co.']	1898	LOT 13923	no country	no city	US	no source	2008678071.jpg	http://www.loc.gov/item/2008678071/
1171	[Sandsfoot Castle, Portland, England]	no contributor	1890	LOT 13415	no country	no city	UK	Views of the British Isles	2002708057.jpg	http://www.loc.gov/item/2002708057/
1172	[The Pfalz on the Rhine, Coub (i.e., Kaub), the Rhine, Germany]	no contributor	1890	LOT 13411	no country	no city	Russia	Views of Germany	2002714074.jpg	http://www.loc.gov/item/2002714074/
1173	[Fort William and Ben Nevis, Scotland]	no contributor	1890	LOT 13407	no country	no city	Scotland	Views of landscape and architecture in Scotland	2001705996.jpg	http://www.loc.gov/item/2001705996/
1174	[Kilcreggan from the water, Scotland]	no contributor	1890	LOT 13407	no country	no city	Scotland	Views of landscape and architecture in Scotland	2002695001.jpg	http://www.loc.gov/item/2002695001/
1175	[Pola, the arena, from the sea, Istria, Austro-Hungary]	no contributor	1890	LOT 13417	no country	no city	Austro-Hungarian Empire	Views of the Austro-Hungarian Empire	2002710934.jpg	http://www.loc.gov/item/2002710934/
1176	[Lake of the Four Cantons, Pilatus, Switzerland]	no contributor	1890	LOT 13410	no country	no city	Switzerland	Views of Switzerland	2001703141.jpg	http://www.loc.gov/item/2001703141/
1177	[The Sands, Bordighera, Riviera]	no contributor	1890	LOT 13425	no country	no city	France	Views of the French and Italian Riviera	2001699282.jpg	http://www.loc.gov/item/2001699282/
1178	[Schwarzenberg Place, Vienna, Austro-Hungary]	no contributor	1890	LOT 13417	no country	no city	Austro-Hungarian Empire	Views of the Austro-Hungarian Empire	2002708407.jpg	http://www.loc.gov/item/2002708407/
1179	[Silex Bay, Yorkshire, England]	no contributor	1890	LOT 13415	no country	no city	UK	Views of the British Isles	2002708329.jpg	http://www.loc.gov/item/2002708329/
1180	[Cathedral choir screen, Hereford, England]	no contributor	1890	LOT 13415	no country	no city	UK	Views of the British Isles	2002696800.jpg	http://www.loc.gov/item/2002696800/
1181	[St. Paul's, Eppan, Tyrol, Austro-Hungary]	no contributor	1890	LOT 13417	no country	no city	Austro-Hungarian Empire	Views of the Austro-Hungarian Empire	2002711108.jpg	http://www.loc.gov/item/2002711108/
